day,day_of_week,hour,route_id,length_km,n_stops,traffic_index,rain,passengers,travel_time_min,fare_thb,diesel_l_per_km
0,0,13,R4-60,35.56,200,1.263,1.0,415,170.3,19.0,0.522
0,0,13,RS2,51.33,108,1.344,1.0,269,188.4,19.0,0.585
0,0,14,R2-38,24.45,138,1.004,1.0,341,108.4,19.0,0.478
0,0,14,R1-1,23.73,107,0.969,1.0,301,89.9,19.0,0.475
0,0,14,R1-5,29.91,134,0.897,1.0,410,112.8,19.0,0.5
0,0,14,R4-60,35.56,200,0.936,1.0,524,148.9,19.0,0.522
0,0,14,RS2,51.33,108,0.977,1.0,258,147.4,19.0,0.585
0,0,15,R2-38,24.45,138,0.965,1.0,293,103.2,19.0,0.478
0,0,15,R1-1,23.73,107,0.87,1.0,186,79.6,19.0,0.475
0,0,15,R1-5,29.91,134,0.916,1.0,246,104.0,19.0,0.5
0,0,15,R4-60,35.56,200,0.953,1.0,338,145.1,19.0,0.522
0,0,15,RS2,51.33,108,0.973,1.0,225,144.3,19.0,0.585
0,0,16,R2-38,24.45,138,1.882,1.0,551,159.0,19.0,0.478
0,0,16,R1-1,23.73,107,1.895,1.0,476,150.5,19.0,0.475
0,0,16,R1-5,29.91,134,1.857,1.0,478,175.5,19.0,0.5
0,0,16,R4-60,35.56,200,1.904,1.0,801,234.7,19.0,0.522
0,0,16,RS2,51.33,108,1.805,1.0,396,242.4,19.0,0.585
0,0,17,R2-38,24.45,138,1.896,1.0,572,159.9,19.0,0.478
0,0,17,R1-1,23.73,107,2.016,1.0,434,154.5,19.0,0.475
0,0,17,R1-5,29.91,134,2.047,1.0,568,193.6,19.0,0.5
0,0,17,R4-60,35.56,200,2.0,1.0,860,247.6,19.0,0.522
0,0,17,RS2,51.33,108,1.949,1.0,481,260.2,19.0,0.585
0,0,18,R2-38,24.45,138,1.963,1.0,629,167.9,19.0,0.478
0,0,18,R1-1,23.73,107,1.992,1.0,514,154.1,19.0,0.475
0,0,18,R1-5,29.91,134,1.975,1.0,589,189.9,19.0,0.5
0,0,18,R4-60,35.56,200,1.969,1.0,1076,254.7,19.0,0.522
0,0,18,RS2,51.33,108,1.942,1.0,495,263.5,19.0,0.585
0,0,19,R2-38,24.45,138,2.032,1.0,512,167.9,19.0,0.478
0,0,19,R1-1,23.73,107,1.969,1.0,413,147.6,19.0,0.475
0,0,19,R1-5,29.91,134,2.001,1.0,514,187.7,19.0,0.5
0,0,19,R4-60,35.56,200,2.072,1.0,667,242.6,19.0,0.522
0,0,19,RS2,51.33,108,2.025,1.0,377,266.9,19.0,0.585
0,0,20,R2-38,24.45,138,1.021,1.0,217,100.6,19.0,0.478
0,0,20,R1-1,23.73,107,0.949,1.0,169,87.8,19.0,0.475
0,0,20,R1-5,29.91,134,0.975,1.0,309,114.2,19.0,0.5
0,0,20,R4-60,35.56,200,1.021,1.0,398,150.5,19.0,0.522
0,0,20,RS2,51.33,108,0.954,1.0,190,139.7,19.0,0.585
0,0,21,R2-38,24.45,138,0.983,1.0,165,98.3,19.0,0.478
0,0,21,R1-1,23.73,107,1.024,1.0,130,87.0,19.0,0.475
0,0,21,R1-5,29.91,134,0.905,1.0,153,102.8,19.0,0.5
0,0,21,R4-60,35.56,200,0.924,1.0,192,131.6,19.0,0.522
0,0,21,RS2,51.33,108,0.925,1.0,141,137.8,19.0,0.585
0,0,22,R2-38,24.45,138,0.86,1.0,171,91.6,19.0,0.478
0,0,22,R1-1,23.73,107,1.016,1.0,77,85.4,19.0,0.475
0,0,22,R1-5,29.91,134,0.888,1.0,201,104.5,19.0,0.5
0,0,22,R4-60,35.56,200,0.929,1.0,282,139.2,19.0,0.522
0,0,22,RS2,51.33,108,0.961,1.0,127,139.5,19.0,0.585
1,1,5,R2-38,24.45,138,0.945,1.0,276,98.0,19.0,0.478
1,1,5,R1-1,23.73,107,0.947,1.0,219,85.8,19.0,0.475
1,1,5,R1-5,29.91,134,0.96,1.0,268,113.1,19.0,0.5
1,1,5,R4-60,35.56,200,0.986,1.0,410,153.7,19.0,0.522
1,1,5,RS2,51.33,108,0.943,1.0,164,138.7,19.0,0.585
1,1,6,R2-38,24.45,138,0.956,1.0,564,111.8,19.0,0.478
1,1,6,R1-1,23.73,107,0.888,1.0,438,95.8,19.0,0.475
1,1,6,R1-5,29.91,134,0.963,1.0,459,119.7,19.0,0.5
1,1,6,R4-60,35.56,200,0.933,1.0,882,167.6,19.0,0.522
1,1,6,RS2,51.33,108,0.982,1.0,467,156.7,19.0,0.585
1,1,7,R2-38,24.45,138,1.762,1.0,605,156.7,19.0,0.478
1,1,7,R1-1,23.73,107,1.79,1.0,437,141.3,19.0,0.475
1,1,7,R1-5,29.91,134,1.689,1.0,484,161.8,19.0,0.5
1,1,7,R4-60,35.56,200,1.742,1.0,852,226.7,19.0,0.522
1,1,7,RS2,51.33,108,1.813,1.0,478,250.9,19.0,0.585
1,1,8,R2-38,24.45,138,1.846,1.0,640,160.5,19.0,0.478
1,1,8,R1-1,23.73,107,1.807,1.0,543,149.0,19.0,0.475
1,1,8,R1-5,29.91,134,1.787,1.0,639,180.8,19.0,0.5
1,1,8,R4-60,35.56,200,1.837,1.0,956,237.2,19.0,0.522
1,1,8,RS2,51.33,108,1.821,1.0,494,250.7,19.0,0.585
1,1,9,R2-38,24.45,138,1.908,1.0,595,167.2,19.0,0.478
1,1,9,R1-1,23.73,107,1.902,1.0,435,144.5,19.0,0.475
1,1,9,R1-5,29.91,134,1.96,1.0,565,187.9,19.0,0.5
1,1,9,R4-60,35.56,200,1.993,1.0,922,248.8,19.0,0.522
1,1,9,RS2,51.33,108,1.958,1.0,438,261.9,19.0,0.585
1,1,10,R2-38,24.45,138,0.964,1.0,209,93.8,19.0,0.478
1,1,10,R1-1,23.73,107,0.907,1.0,182,87.6,19.0,0.475
1,1,10,R1-5,29.91,134,0.996,1.0,221,109.7,19.0,0.5
1,1,10,R4-60,35.56,200,0.94,1.0,383,143.6,19.0,0.522
1,1,10,RS2,51.33,108,0.994,1.0,171,150.7,19.0,0.585
1,1,11,R2-38,24.45,138,1.29,1.0,384,124.1,19.0,0.478
1,1,11,R1-1,23.73,107,1.279,1.0,251,106.3,19.0,0.475
1,1,11,R1-5,29.91,134,1.247,1.0,369,134.0,19.0,0.5
1,1,11,R4-60,35.56,200,1.27,1.0,505,176.6,19.0,0.522
1,1,11,RS2,51.33,108,1.208,1.0,234,168.5,19.0,0.585
1,1,12,R2-38,24.45,138,1.336,1.0,354,120.8,19.0,0.478
1,1,12,R1-1,23.73,107,1.162,1.0,283,102.0,19.0,0.475
1,1,12,R1-5,29.91,134,1.259,1.0,317,130.9,19.0,0.5
1,1,12,R4-60,35.56,200,1.285,1.0,510,176.8,19.0,0.522
1,1,12,RS2,51.33,108,1.308,1.0,263,186.9,19.0,0.585
1,1,13,R2-38,24.45,138,1.242,1.0,337,117.9,19.0,0.478
1,1,13,R1-1,23.73,107,1.337,1.0,273,109.7,19.0,0.475
1,1,13,R1-5,29.91,134,1.291,1.0,368,134.1,19.0,0.5
1,1,13,R4-60,35.56,200,1.263,1.0,473,174.0,19.0,0.522
1,1,13,RS2,51.33,108,1.259,1.0,258,176.6,19.0,0.585
1,1,14,R2-38,24.45,138,0.884,1.0,322,98.8,19.0,0.478
1,1,14,R1-1,23.73,107,0.941,1.0,264,87.3,19.0,0.475
1,1,14,R1-5,29.91,134,0.98,1.0,357,117.0,19.0,0.5
1,1,14,R4-60,35.56,200,0.963,1.0,576,154.6,19.0,0.522
1,1,14,RS2,51.33,108,0.921,1.0,229,138.6,19.0,0.585
1,1,15,R2-38,24.45,138,0.949,1.0,262,98.1,19.0,0.478
1,1,15,R1-1,23.73,107,0.988,1.0,209,87.7,19.0,0.475
1,1,15,R1-5,29.91,134,0.974,1.0,231,109.4,19.0,0.5
1,1,15,R4-60,35.56,200,0.962,1.0,330,140.5,19.0,0.522
1,1,15,RS2,51.33,108,1.005,1.0,222,149.8,19.0,0.585
1,1,16,R2-38,24.45,138,1.795,1.0,499,152.1,19.0,0.478
1,1,16,R1-1,23.73,107,1.92,1.0,435,144.4,19.0,0.475
1,1,16,R1-5,29.91,134,1.9,1.0,534,182.5,19.0,0.5
1,1,16,R4-60,35.56,200,1.964,1.0,667,233.3,19.0,0.522
1,1,16,RS2,51.33,108,1.87,1.0,445,249.3,19.0,0.585
1,1,17,R2-38,24.45,138,1.952,1.0,652,168.2,19.0,0.478
1,1,17,R1-1,23.73,107,1.906,1.0,519,150.2,19.0,0.475
1,1,17,R1-5,29.91,134,1.864,1.0,593,183.0,19.0,0.5
1,1,17,R4-60,35.56,200,1.874,1.0,892,235.6,19.0,0.522
1,1,17,RS2,51.33,108,1.96,1.0,482,267.1,19.0,0.585
1,1,18,R2-38,24.45,138,1.955,1.0,639,167.8,19.0,0.478
1,1,18,R1-1,23.73,107,1.992,1.0,466,153.8,19.0,0.475
1,1,18,R1-5,29.91,134,1.931,1.0,588,191.6,19.0,0.5
1,1,18,R4-60,35.56,200,1.957,1.0,818,240.2,19.0,0.522
1,1,18,RS2,51.33,108,1.965,1.0,481,265.8,19.0,0.585
1,1,19,R2-38,24.45,138,1.953,1.0,617,168.3,19.0,0.478
1,1,19,R1-1,23.73,107,2.0,1.0,428,146.2,19.0,0.475
1,1,19,R1-5,29.91,134,2.02,1.0,560,190.4,19.0,0.5
1,1,19,R4-60,35.56,200,2.08,1.0,757,247.7,19.0,0.522
1,1,19,RS2,51.33,108,1.978,1.0,452,264.1,19.0,0.585
1,1,20,R2-38,24.45,138,0.884,1.0,240,94.6,19.0,0.478
1,1,20,R1-1,23.73,107,0.948,1.0,144,84.9,19.0,0.475
1,1,20,R1-5,29.91,134,0.931,1.0,180,105.0,19.0,0.5
1,1,20,R4-60,35.56,200,0.923,1.0,323,140.9,19.0,0.522
1,1,20,RS2,51.33,108,1.047,1.0,210,152.7,19.0,0.585
1,1,21,R2-38,24.45,138,0.984,1.0,191,97.1,19.0,0.478
1,1,21,R1-1,23.73,107,0.934,1.0,119,85.1,19.0,0.475
1,1,21,R1-5,29.91,134,0.933,1.0,147,102.6,19.0,0.5
1,1,21,R4-60,35.56,200,0.99,1.0,135,134.7,19.0,0.522
1,1,21,RS2,51.33,108,0.859,1.0,100,127.1,19.0,0.585
1,1,22,R2-38,24.45,138,0.996,1.0,146,96.5,19.0,0.478
1,1,22,R1-1,23.73,107,0.994,1.0,99,85.2,19.0,0.475
1,1,22,R1-5,29.91,134,0.943,1.0,175,106.4,19.0,0.5
1,1,22,R4-60,35.56,200,0.91,1.0,231,132.5,19.0,0.522
1,1,22,RS2,51.33,108,0.889,1.0,139,130.6,19.0,0.585
2,2,5,R2-38,24.45,138,0.948,1.0,251,96.1,19.0,0.478
2,2,5,R1-1,23.73,107,0.915,1.0,230,87.9,19.0,0.475
2,2,5,R1-5,29.91,134,0.906,1.0,218,104.8,19.0,0.5
2,2,5,R4-60,35.56,200,0.974,1.0,361,146.1,19.0,0.522
2,2,5,RS2,51.33,108,0.983,1.0,197,141.0,19.0,0.585
2,2,6,R2-38,24.45,138,0.992,1.0,578,113.0,19.0,0.478
2,2,6,R1-1,23.73,107,0.956,1.0,508,102.5,19.0,0.475
2,2,6,R1-5,29.91,134,0.937,1.0,534,120.9,19.0,0.5
2,2,6,R4-60,35.56,200,0.911,1.0,1000,173.5,19.0,0.522
2,2,6,RS2,51.33,108,0.915,1.0,484,152.5,19.0,0.585
2,2,7,R2-38,24.45,138,1.819,1.0,616,162.3,19.0,0.478
2,2,7,R1-1,23.73,107,1.783,1.0,408,136.8,19.0,0.475
2,2,7,R1-5,29.91,134,1.718,1.0,658,179.1,19.0,0.5
2,2,7,R4-60,35.56,200,1.779,1.0,890,231.3,19.0,0.522
2,2,7,RS2,51.33,108,1.725,1.0,460,235.3,19.0,0.585
2,2,8,R2-38,24.45,138,1.84,1.0,742,169.8,19.0,0.478
2,2,8,R1-1,23.73,107,1.843,1.0,536,146.6,19.0,0.475
2,2,8,R1-5,29.91,134,1.799,1.0,634,177.9,19.0,0.5
2,2,8,R4-60,35.56,200,1.863,1.0,916,238.1,19.0,0.522
2,2,8,RS2,51.33,108,1.882,1.0,587,260.8,19.0,0.585
2,2,9,R2-38,24.45,138,1.882,1.0,554,162.0,19.0,0.478
2,2,9,R1-1,23.73,107,1.967,1.0,467,147.4,19.0,0.475
2,2,9,R1-5,29.91,134,1.903,1.0,559,182.2,19.0,0.5
2,2,9,R4-60,35.56,200,1.926,1.0,787,237.6,19.0,0.522
2,2,9,RS2,51.33,108,1.899,1.0,462,254.5,19.0,0.585
2,2,10,R2-38,24.45,138,0.932,1.0,276,95.2,19.0,0.478
2,2,10,R1-1,23.73,107,0.877,1.0,196,82.6,19.0,0.475
2,2,10,R1-5,29.91,134,1.0,1.0,173,111.6,19.0,0.5
2,2,10,R4-60,35.56,200,0.906,1.0,335,137.7,19.0,0.522
2,2,10,RS2,51.33,108,0.939,1.0,250,142.5,19.0,0.585
2,2,11,R2-38,24.45,138,1.357,1.0,373,125.7,19.0,0.478
2,2,11,R1-1,23.73,107,1.286,1.0,316,110.6,19.0,0.475
2,2,11,R1-5,29.91,134,1.253,1.0,352,131.8,19.0,0.5
2,2,11,R4-60,35.56,200,1.317,1.0,503,178.2,19.0,0.522
2,2,11,RS2,51.33,108,1.294,1.0,250,182.9,19.0,0.585
2,2,12,R2-38,24.45,138,1.242,1.0,299,116.6,19.0,0.478
2,2,12,R1-1,23.73,107,1.253,1.0,264,104.0,19.0,0.475
2,2,12,R1-5,29.91,134,1.258,1.0,335,130.3,19.0,0.5
2,2,12,R4-60,35.56,200,1.31,1.0,450,171.2,19.0,0.522
2,2,12,RS2,51.33,108,1.281,1.0,261,180.5,19.0,0.585
2,2,13,R2-38,24.45,138,1.29,1.0,348,118.9,19.0,0.478
2,2,13,R1-1,23.73,107,1.237,1.0,288,104.3,19.0,0.475
2,2,13,R1-5,29.91,134,1.181,1.0,272,123.4,19.0,0.5
2,2,13,R4-60,35.56,200,1.265,1.0,488,175.6,19.0,0.522
2,2,13,RS2,51.33,108,1.254,1.0,254,174.3,19.0,0.585
2,2,14,R2-38,24.45,138,0.967,1.0,342,107.5,19.0,0.478
2,2,14,R1-1,23.73,107,0.927,1.0,307,88.0,19.0,0.475
2,2,14,R1-5,29.91,134,0.954,1.0,290,111.9,19.0,0.5
2,2,14,R4-60,35.56,200,0.974,1.0,492,154.3,19.0,0.522
2,2,14,RS2,51.33,108,1.009,1.0,298,149.3,19.0,0.585
2,2,15,R2-38,24.45,138,0.939,1.0,228,96.4,19.0,0.478
2,2,15,R1-1,23.73,107,0.945,1.0,235,88.9,19.0,0.475
2,2,15,R1-5,29.91,134,0.942,1.0,246,109.2,19.0,0.5
2,2,15,R4-60,35.56,200,0.998,1.0,439,152.5,19.0,0.522
2,2,15,RS2,51.33,108,0.906,1.0,204,139.2,19.0,0.585
2,2,16,R2-38,24.45,138,1.899,1.0,579,165.8,19.0,0.478
2,2,16,R1-1,23.73,107,1.903,1.0,417,138.5,19.0,0.475
2,2,16,R1-5,29.91,134,1.906,1.0,386,176.3,19.0,0.5
2,2,16,R4-60,35.56,200,1.91,1.0,707,234.8,19.0,0.522
2,2,16,RS2,51.33,108,1.872,1.0,472,255.1,19.0,0.585
2,2,17,R2-38,24.45,138,1.996,1.0,601,169.1,19.0,0.478
2,2,17,R1-1,23.73,107,1.93,1.0,452,145.9,19.0,0.475
2,2,17,R1-5,29.91,134,1.968,1.0,603,189.3,19.0,0.5
2,2,17,R4-60,35.56,200,1.94,1.0,890,240.9,19.0,0.522
2,2,17,RS2,51.33,108,1.975,1.0,449,265.2,19.0,0.585
2,2,18,R2-38,24.45,138,1.991,1.0,592,170.2,19.0,0.478
2,2,18,R1-1,23.73,107,1.988,1.0,466,151.6,19.0,0.475
2,2,18,R1-5,29.91,134,1.961,1.0,623,193.0,19.0,0.5
2,2,18,R4-60,35.56,200,2.045,1.0,960,254.8,19.0,0.522
2,2,18,RS2,51.33,108,2.003,1.0,498,271.3,19.0,0.585
2,2,19,R2-38,24.45,138,2.011,1.0,508,167.0,19.0,0.478
2,2,19,R1-1,23.73,107,2.013,1.0,440,150.2,19.0,0.475
2,2,19,R1-5,29.91,134,2.043,1.0,501,192.3,19.0,0.5
2,2,19,R4-60,35.56,200,1.993,1.0,675,234.7,19.0,0.522
2,2,19,RS2,51.33,108,2.015,1.0,409,268.0,19.0,0.585
2,2,20,R2-38,24.45,138,0.965,1.0,266,101.9,19.0,0.478
2,2,20,R1-1,23.73,107,0.867,1.0,166,81.0,19.0,0.475
2,2,20,R1-5,29.91,134,0.951,1.0,289,111.3,19.0,0.5
2,2,20,R4-60,35.56,200,0.932,1.0,374,143.2,19.0,0.522
2,2,20,RS2,51.33,108,0.991,1.0,192,147.5,19.0,0.585
2,2,21,R2-38,24.45,138,0.913,1.0,196,94.9,19.0,0.478
2,2,21,R1-1,23.73,107,0.921,1.0,103,81.8,19.0,0.475
2,2,21,R1-5,29.91,134,0.913,1.0,158,101.9,19.0,0.5
2,2,21,R4-60,35.56,200,0.956,1.0,312,145.1,19.0,0.522
2,2,21,RS2,51.33,108,0.958,1.0,136,140.8,19.0,0.585
2,2,22,R2-38,24.45,138,0.945,1.0,198,98.7,19.0,0.478
2,2,22,R1-1,23.73,107,0.926,1.0,117,82.5,19.0,0.475
2,2,22,R1-5,29.91,134,1.009,1.0,153,105.9,19.0,0.5
2,2,22,R4-60,35.56,200,0.942,1.0,160,134.4,19.0,0.522
2,2,22,RS2,51.33,108,1.004,1.0,184,150.0,19.0,0.585
3,3,5,R2-38,24.45,138,0.961,1.0,252,100.0,19.0,0.478
3,3,5,R1-1,23.73,107,0.956,1.0,173,82.6,19.0,0.475
3,3,5,R1-5,29.91,134,0.978,1.0,229,109.7,19.0,0.5
3,3,5,R4-60,35.56,200,0.983,1.0,359,148.9,19.0,0.522
3,3,5,RS2,51.33,108,1.015,1.0,218,152.4,19.0,0.585
3,3,6,R2-38,24.45,138,0.997,1.0,611,119.6,19.0,0.478
3,3,6,R1-1,23.73,107,0.908,1.0,430,93.8,19.0,0.475
3,3,6,R1-5,29.91,134,1.004,1.0,625,129.5,19.0,0.5
3,3,6,R4-60,35.56,200,0.906,1.0,827,162.8,19.0,0.522
3,3,6,RS2,51.33,108,0.997,1.0,450,156.9,19.0,0.585
3,3,7,R2-38,24.45,138,1.787,1.0,554,155.9,19.0,0.478
3,3,7,R1-1,23.73,107,1.762,1.0,479,140.1,19.0,0.475
3,3,7,R1-5,29.91,134,1.759,1.0,478,170.0,19.0,0.5
3,3,7,R4-60,35.56,200,1.742,1.0,883,230.4,19.0,0.522
3,3,7,RS2,51.33,108,1.771,1.0,449,242.4,19.0,0.585
3,3,8,R2-38,24.45,138,1.911,1.0,555,161.7,19.0,0.478
3,3,8,R1-1,23.73,107,1.843,1.0,558,147.2,19.0,0.475
3,3,8,R1-5,29.91,134,1.883,1.0,698,190.6,19.0,0.5
3,3,8,R4-60,35.56,200,1.853,1.0,1000,241.9,19.0,0.522
3,3,8,RS2,51.33,108,1.842,1.0,498,249.5,19.0,0.585
3,3,9,R2-38,24.45,138,1.868,1.0,558,157.7,19.0,0.478
3,3,9,R1-1,23.73,107,1.876,1.0,479,149.6,19.0,0.475
3,3,9,R1-5,29.91,134,1.899,1.0,517,177.3,19.0,0.5
3,3,9,R4-60,35.56,200,1.911,1.0,788,232.7,19.0,0.522
3,3,9,RS2,51.33,108,1.885,1.0,462,256.0,19.0,0.585
3,3,10,R2-38,24.45,138,0.899,1.0,265,98.5,19.0,0.478
3,3,10,R1-1,23.73,107,0.951,1.0,162,85.7,19.0,0.475
3,3,10,R1-5,29.91,134,0.976,1.0,259,113.0,19.0,0.5
3,3,10,R4-60,35.56,200,0.941,1.0,434,150.7,19.0,0.522
3,3,10,RS2,51.33,108,0.902,1.0,189,134.3,19.0,0.585
3,3,11,R2-38,24.45,138,1.228,1.0,334,117.2,19.0,0.478
3,3,11,R1-1,23.73,107,1.255,1.0,241,102.1,19.0,0.475
3,3,11,R1-5,29.91,134,1.372,1.0,355,139.5,19.0,0.5
3,3,11,R4-60,35.56,200,1.274,1.0,403,167.4,19.0,0.522
3,3,11,RS2,51.33,108,1.209,1.0,204,172.8,19.0,0.585
3,3,12,R2-38,24.45,138,1.279,1.0,386,124.0,19.0,0.478
3,3,12,R1-1,23.73,107,1.245,1.0,286,104.3,19.0,0.475
3,3,12,R1-5,29.91,134,1.303,1.0,338,133.1,19.0,0.5
3,3,12,R4-60,35.56,200,1.234,1.0,506,170.5,19.0,0.522
3,3,12,RS2,51.33,108,1.282,1.0,288,185.1,19.0,0.585
3,3,13,R2-38,24.45,138,1.332,1.0,339,121.9,19.0,0.478
3,3,13,R1-1,23.73,107,1.323,1.0,261,104.5,19.0,0.475
3,3,13,R1-5,29.91,134,1.274,1.0,302,134.8,19.0,0.5
3,3,13,R4-60,35.56,200,1.249,1.0,489,171.1,19.0,0.522
3,3,13,RS2,51.33,108,1.312,1.0,289,184.3,19.0,0.585
3,3,14,R2-38,24.45,138,0.992,1.0,358,105.5,19.0,0.478
3,3,14,R1-1,23.73,107,0.95,1.0,251,90.4,19.0,0.475
3,3,14,R1-5,29.91,134,0.978,1.0,375,119.5,19.0,0.5
3,3,14,R4-60,35.56,200,0.937,1.0,494,149.3,19.0,0.522
3,3,14,RS2,51.33,108,0.928,1.0,309,144.4,19.0,0.585
3,3,15,R2-38,24.45,138,0.999,1.0,170,99.5,19.0,0.478
3,3,15,R1-1,23.73,107,0.954,1.0,187,86.2,19.0,0.475
3,3,15,R1-5,29.91,134,1.032,1.0,269,114.1,19.0,0.5
3,3,15,R4-60,35.56,200,0.936,1.0,279,140.8,19.0,0.522
3,3,15,RS2,51.33,108,0.889,1.0,171,132.2,19.0,0.585
3,3,16,R2-38,24.45,138,1.893,1.0,494,160.5,19.0,0.478
3,3,16,R1-1,23.73,107,1.881,1.0,345,142.3,19.0,0.475
3,3,16,R1-5,29.91,134,1.78,1.0,484,173.7,19.0,0.5
3,3,16,R4-60,35.56,200,1.864,1.0,820,237.6,19.0,0.522
3,3,16,RS2,51.33,108,1.883,1.0,398,254.3,19.0,0.585
3,3,17,R2-38,24.45,138,1.901,1.0,613,161.9,19.0,0.478
3,3,17,R1-1,23.73,107,1.94,1.0,517,147.8,19.0,0.475
3,3,17,R1-5,29.91,134,1.926,1.0,572,183.3,19.0,0.5
3,3,17,R4-60,35.56,200,1.966,1.0,941,251.0,19.0,0.522
3,3,17,RS2,51.33,108,1.95,1.0,576,267.2,19.0,0.585
3,3,18,R2-38,24.45,138,1.941,1.0,656,168.1,19.0,0.478
3,3,18,R1-1,23.73,107,1.931,1.0,548,150.5,19.0,0.475
3,3,18,R1-5,29.91,134,2.009,1.0,600,193.1,19.0,0.5
3,3,18,R4-60,35.56,200,1.921,1.0,1014,248.3,19.0,0.522
3,3,18,RS2,51.33,108,1.958,1.0,471,263.0,19.0,0.585
3,3,19,R2-38,24.45,138,1.998,1.0,517,167.2,19.0,0.478
3,3,19,R1-1,23.73,107,1.998,1.0,402,151.0,19.0,0.475
3,3,19,R1-5,29.91,134,2.063,1.0,508,192.7,19.0,0.5
3,3,19,R4-60,35.56,200,2.029,1.0,714,242.0,19.0,0.522
3,3,19,RS2,51.33,108,2.035,1.0,432,272.9,19.0,0.585
3,3,20,R2-38,24.45,138,1.001,1.0,167,97.5,19.0,0.478
3,3,20,R1-1,23.73,107,0.882,1.0,209,81.5,19.0,0.475
3,3,20,R1-5,29.91,134,0.965,1.0,211,111.0,19.0,0.5
3,3,20,R4-60,35.56,200,0.93,1.0,347,145.6,19.0,0.522
3,3,20,RS2,51.33,108,0.976,1.0,198,141.9,19.0,0.585
3,3,21,R2-38,24.45,138,0.999,1.0,151,96.0,19.0,0.478
3,3,21,R1-1,23.73,107,0.928,1.0,142,84.2,19.0,0.475
3,3,21,R1-5,29.91,134,0.951,1.0,167,109.6,19.0,0.5
3,3,21,R4-60,35.56,200,0.889,1.0,306,135.1,19.0,0.522
3,3,21,RS2,51.33,108,1.041,1.0,156,149.8,19.0,0.585
3,3,22,R2-38,24.45,138,0.943,1.0,159,97.3,19.0,0.478
3,3,22,R1-1,23.73,107,0.959,1.0,109,84.7,19.0,0.475
